timestamp,antennaID,dataNum,beaconMac,beaconUUID,beaconRSSI
2018-06-08 17:09:02.246258,2,1,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-72
2018-06-08 17:09:02.453063,2,2,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-72
2018-06-08 17:09:02.872226,2,3,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-83
2018-06-08 17:09:03.072474,2,4,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-83
2018-06-08 17:09:03.176613,2,5,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-72
2018-06-08 17:09:03.376387,2,6,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-85
2018-06-08 17:09:03.578845,2,7,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-63
2018-06-08 17:09:03.996407,2,8,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-72
2018-06-08 17:09:04.101994,2,9,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-71
2018-06-08 17:09:04.302934,2,10,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-63
2018-06-08 17:09:04.507808,2,11,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-63
2018-06-08 17:09:04.713340,2,12,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-73
2018-06-08 17:09:04.922000,2,13,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-73
2018-06-08 17:09:05.229535,2,14,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-63
2018-06-08 17:09:05.429158,2,15,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-55
2018-06-08 17:09:05.828606,2,16,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-47
2018-06-08 17:09:05.936357,2,17,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-72
2018-06-08 17:09:06.142806,2,18,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-82
2018-06-08 17:09:06.349048,2,19,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-81
2018-06-08 17:09:06.561228,2,20,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-84
2018-06-08 17:09:06.763684,2,21,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-46
2018-06-08 17:09:06.861930,2,22,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-83
2018-06-08 17:09:07.070263,2,23,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-47
2018-06-08 17:09:07.273332,2,24,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-63
2018-06-08 17:09:07.471159,2,25,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-63
2018-06-08 17:09:07.681163,2,26,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-46
2018-06-08 17:09:07.991219,2,27,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-62
2018-06-08 17:09:08.199660,2,28,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-62
2018-06-08 17:09:08.415005,2,29,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-61
2018-06-08 17:09:08.721763,2,30,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-72
2018-06-08 17:09:08.929352,2,31,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-74
2018-06-08 17:09:09.135358,2,32,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-62
2018-06-08 17:09:09.543277,2,33,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-72
2018-06-08 17:09:09.639827,2,34,40:f3:85:90:91:52,fda50693-a4e2-4fb1-afcf-c6eb07647825,-62
